method,rank,accuracy,generation_success_rate,execution_success_rate,correct,num_eval_samples,train_loss,train_runtime,eval_runtime,avg_generation_time_per_sample,train_peak_gpu_memory_gb,eval_peak_gpu_memory_gb,trainable_params,total_params,trainable_ratio
base,,0.34,1.0,0.53,34,100,,,2892.22411942482,28.9222411942482,,16.0047664642334,0,,0
quant,,0.41,1.0,0.58,41,100,,,5279.4736087322235,52.794736087322235,,6.489915370941162,0,,0
qlora,2,0.36,1.0,0.48,36,100,0.4536567165851593,17844.5645,8015.975872516632,80.15975872516633,13.824891090393066,6.497056484222412,1916928,4719768576,0.0004061487272379348
qlora,4,0.46,1.0,0.54,46,100,0.42147094416618347,17964.3536,7708.241662740707,77.08241662740707,13.853455543518066,6.504197597503662,3833856,4721685504,0.0008119676748381757
qlora,8,0.54,1.0,0.65,54,100,0.3974639019966125,18227.8846,8081.32959651947,80.8132959651947,13.910584449768066,6.518479824066162,7667712,4725519360,0.0016226178364445428
qlora,16,0.59,1.0,0.69,59,100,0.38836108803749086,18544.4433,7978.661189079285,79.78661189079284,14.024842262268066,6.547044277191162,15335424,4733187072,0.0032399784261051916
qlora,32,0.57,1.0,0.68,57,100,0.37003480887413026,18170.653,8215.546701841355,82.15546701841355,14.253357887268066,6.604173183441162,30670848,4748522496,0.006459029735214715
qlora,64,0.52,1.0,0.64,52,100,0.3544006607532501,18283.3913,7463.849542617798,74.63849542617798,14.710389137268066,6.718430995941162,61341696,4779193344,0.01283515681093148
