method,rank,num_lora_modules,mean_rank_90,mean_rank_95,mean_rank_99,min_rank_90,max_rank_90,min_rank_95,max_rank_95,min_rank_99,max_rank_99,mean_entropy_effective_rank,mean_normalized_entropy_effective_rank,mean_stable_rank,mean_numerical_rank,q_proj_mean_rank_90,q_proj_mean_rank_95,q_proj_mean_rank_99,q_proj_mean_entropy_effective_rank,q_proj_mean_normalized_entropy_effective_rank,q_proj_mean_stable_rank,k_proj_mean_rank_90,k_proj_mean_rank_95,k_proj_mean_rank_99,k_proj_mean_entropy_effective_rank,k_proj_mean_normalized_entropy_effective_rank,k_proj_mean_stable_rank,v_proj_mean_rank_90,v_proj_mean_rank_95,v_proj_mean_rank_99,v_proj_mean_entropy_effective_rank,v_proj_mean_normalized_entropy_effective_rank,v_proj_mean_stable_rank,o_proj_mean_rank_90,o_proj_mean_rank_95,o_proj_mean_rank_99,o_proj_mean_entropy_effective_rank,o_proj_mean_normalized_entropy_effective_rank,o_proj_mean_stable_rank
qlora,2,144,1.375,1.5555555555555556,1.9444444444444444,1,2,1,2,1,2,1.3722766521904204,0.6861383260952102,1.1563124416602983,2.0,1.4166666666666667,1.6111111111111112,2.0,1.413371205329895,0.7066856026649475,1.1580200393994649,1.6666666666666667,1.7777777777777777,2.0,1.5634677675035265,0.7817338837517632,1.2857598033216264,1.1666666666666667,1.3888888888888888,1.9166666666666667,1.246454851494895,0.6232274257474475,1.0826910105016496,1.25,1.4444444444444444,1.8611111111111112,1.2658127844333649,0.6329063922166824,1.098778913418452
qlora,4,144,1.7847222222222223,2.2222222222222223,3.4375,1,3,1,4,2,4,1.781489955054389,0.44537248876359725,1.247675296333101,4.0,1.8888888888888888,2.388888888888889,3.6944444444444446,1.7965553038650088,0.4491388259662522,1.216525478495492,2.5,3.0555555555555554,3.9166666666666665,2.402132746246126,0.6005331865615315,1.5320154991414812,1.3611111111111112,1.7777777777777777,2.9722222222222223,1.4467157522837322,0.36167893807093304,1.1121152573161655,1.3888888888888888,1.6666666666666667,3.1666666666666665,1.4805560178226895,0.3701390044556724,1.1300449503792658
qlora,8,144,2.3819444444444446,3.5,6.208333333333333,1,6,1,7,3,8,2.3236633663376174,0.2904579207922022,1.3384018888076146,8.0,2.638888888888889,3.9722222222222223,6.777777777777778,2.387438588672214,0.29842982358402675,1.3227024442619748,3.6666666666666665,5.111111111111111,7.277777777777778,3.4163862499925823,0.4270482812490728,1.6990123556719885,1.6111111111111112,2.361111111111111,5.027777777777778,1.7218666639592912,0.2152333329949114,1.16117325425148,1.6111111111111112,2.5555555555555554,5.75,1.768961962726381,0.22112024534079763,1.170719501045015
qlora,16,144,3.6597222222222223,5.944444444444445,11.652777777777779,1,10,2,13,6,15,3.1114933441082635,0.19446833400676647,1.4315599501132965,16.0,4.277777777777778,7.166666666666667,12.88888888888889,3.159094942940606,0.19744343393378788,1.3863787584834628,5.972222222222222,8.88888888888889,13.805555555555555,5.015504532390171,0.3134690332743857,1.8969523641798232,2.0833333333333335,3.4166666666666665,9.055555555555555,2.0492583082781897,0.12807864426738685,1.205857170952691,2.3055555555555554,4.305555555555555,10.86111111111111,2.222115592824088,0.1388822245515055,1.237051506837209
qlora,32,144,6.423611111111111,11.26388888888889,23.0,2,18,3,23,13,30,4.579555443591541,0.14311110761223567,1.6065708440211084,32.0,8.11111111111111,14.027777777777779,25.416666666666668,4.776117662588756,0.1492536769558986,1.5404675371117063,9.944444444444445,15.694444444444445,26.305555555555557,7.4973198837704125,0.2342912463678254,2.2101541062196097,3.0833333333333335,5.944444444444445,17.555555555555557,2.719949331548479,0.08499841661088997,1.3111686209837596,4.555555555555555,9.38888888888889,22.72222222222222,3.32483489645852,0.10390109051432875,1.3644931117693584
qlora,64,144,9.972222222222221,19.069444444444443,42.55555555555556,2,27,5,38,22,56,6.195396661758423,0.09680307283997536,1.7461818978190422,64.0,13.416666666666666,24.36111111111111,47.666666666666664,6.815746320618524,0.10649603625966443,1.6996427675088246,15.027777777777779,25.86111111111111,48.30555555555556,10.132387969228956,0.15831856201920244,2.439060562186771,3.7777777777777777,8.777777777777779,30.416666666666668,3.244430515501234,0.05069422680470678,1.3672210110558405,7.666666666666667,17.27777777777778,43.833333333333336,4.5890218416849775,0.07170346627632777,1.4788032505247328
