method,rank,num_lora_modules,mean_rank_90,mean_rank_95,mean_rank_99,min_rank_90,max_rank_90,min_rank_95,max_rank_95,min_rank_99,max_rank_99,mean_entropy_effective_rank,mean_normalized_entropy_effective_rank,mean_stable_rank,mean_numerical_rank,q_proj_mean_rank_90,q_proj_mean_rank_95,q_proj_mean_rank_99,q_proj_mean_entropy_effective_rank,q_proj_mean_normalized_entropy_effective_rank,q_proj_mean_stable_rank,k_proj_mean_rank_90,k_proj_mean_rank_95,k_proj_mean_rank_99,k_proj_mean_entropy_effective_rank,k_proj_mean_normalized_entropy_effective_rank,k_proj_mean_stable_rank,v_proj_mean_rank_90,v_proj_mean_rank_95,v_proj_mean_rank_99,v_proj_mean_entropy_effective_rank,v_proj_mean_normalized_entropy_effective_rank,v_proj_mean_stable_rank,o_proj_mean_rank_90,o_proj_mean_rank_95,o_proj_mean_rank_99,o_proj_mean_entropy_effective_rank,o_proj_mean_normalized_entropy_effective_rank,o_proj_mean_stable_rank
qlora,2,144,1.3125,1.5208333333333333,1.9305555555555556,1,2,1,2,1,2,1.3450213190582063,0.6725106595291032,1.142806362774637,2.0,1.3888888888888888,1.5,1.9722222222222223,1.372392025258806,0.686196012629403,1.158076634009679,1.5833333333333333,1.8333333333333333,2.0,1.5444804661803775,0.7722402330901887,1.264565149943034,1.1666666666666667,1.3611111111111112,1.8888888888888888,1.2517670657899644,0.6258835328949822,1.0859869089391496,1.1111111111111112,1.3888888888888888,1.8611111111111112,1.2114457190036774,0.6057228595018387,1.0625967582066853
qlora,4,144,1.8263888888888888,2.2430555555555554,3.513888888888889,1,4,1,4,2,4,1.812487677567535,0.45312191939188373,1.2582010138365958,4.0,1.9166666666666667,2.4166666666666665,3.6944444444444446,1.8893551131089528,0.4723387782772382,1.2781400316291385,2.361111111111111,3.0,3.9166666666666665,2.3088827994134693,0.5772206998533673,1.4684798353248172,1.5833333333333333,1.9166666666666667,3.361111111111111,1.5769267976284027,0.3942316994071007,1.1560015545950995,1.4444444444444444,1.6388888888888888,3.0833333333333335,1.4747860001193152,0.3686965000298288,1.1301826337973278
qlora,8,144,2.6805555555555554,3.826388888888889,6.479166666666667,1,7,1,7,4,8,2.445747891234027,0.30571848640425336,1.3565949731402926,8.0,3.138888888888889,4.472222222222222,7.166666666666667,2.6995549069510565,0.33744436336888206,1.3780434562100305,3.861111111111111,5.333333333333333,7.416666666666667,3.44621675213178,0.4307770940164725,1.6825521190961201,1.9444444444444444,2.888888888888889,5.666666666666667,1.8276425070232816,0.2284553133779102,1.1758725080225203,1.7777777777777777,2.611111111111111,5.666666666666667,1.80957739882999,0.22619717485374874,1.1899118092324998
qlora,16,144,4.625,7.159722222222222,12.618055555555555,1,12,1,14,7,16,3.6790577785836325,0.22994111116147703,1.538869906630781,16.0,6.083333333333333,9.13888888888889,13.75,4.386195063591003,0.2741371914744377,1.6228131453196208,7.083333333333333,9.916666666666666,14.333333333333334,5.500553462240431,0.34378459139002693,1.9970278408792284,2.888888888888889,4.972222222222222,11.13888888888889,2.5424909790356955,0.15890568618973097,1.289730492565367,2.4444444444444446,4.611111111111111,11.25,2.2869916094674005,0.14293697559171253,1.2459081477589078
qlora,32,144,7.513888888888889,12.61111111111111,24.145833333333332,1,23,3,27,15,31,5.045025720364517,0.15765705376139116,1.6374867194228702,32.0,10.61111111111111,16.444444444444443,26.63888888888889,6.232264916102092,0.19475827862819037,1.7086412409941356,11.527777777777779,17.444444444444443,27.22222222222222,7.883064448833466,0.2463457640260458,2.1870064073138766,4.138888888888889,8.38888888888889,20.833333333333332,3.2162459095319114,0.10050768467287223,1.36901859442393,3.7777777777777777,8.166666666666666,21.88888888888889,2.8485276069906025,0.08901648771845633,1.2852806349595387
qlora,64,144,12.479166666666666,22.57638888888889,45.93055555555556,2,36,6,46,28,59,6.971240485707919,0.10892563258918624,1.72548941274484,64.0,18.86111111111111,30.5,51.361111111111114,9.223435640335083,0.14411618188023567,1.8558301495181189,18.77777777777778,30.02777777777778,51.083333333333336,10.823781318134731,0.16912158309585518,2.2226262622409396,5.611111111111111,13.305555555555555,37.888888888888886,3.991838494936625,0.062372476483384766,1.4493514597415924,6.666666666666667,16.47222222222222,43.388888888888886,3.8459064894252353,0.0600922888972693,1.374149779478709
