method,rank,num_lora_modules,mean_rank_90,mean_rank_95,mean_rank_99,min_rank_90,max_rank_90,min_rank_95,max_rank_95,min_rank_99,max_rank_99,mean_entropy_effective_rank,mean_normalized_entropy_effective_rank,mean_stable_rank,mean_numerical_rank,q_proj_mean_rank_90,q_proj_mean_rank_95,q_proj_mean_rank_99,q_proj_mean_entropy_effective_rank,q_proj_mean_normalized_entropy_effective_rank,q_proj_mean_stable_rank,k_proj_mean_rank_90,k_proj_mean_rank_95,k_proj_mean_rank_99,k_proj_mean_entropy_effective_rank,k_proj_mean_normalized_entropy_effective_rank,k_proj_mean_stable_rank,v_proj_mean_rank_90,v_proj_mean_rank_95,v_proj_mean_rank_99,v_proj_mean_entropy_effective_rank,v_proj_mean_normalized_entropy_effective_rank,v_proj_mean_stable_rank,o_proj_mean_rank_90,o_proj_mean_rank_95,o_proj_mean_rank_99,o_proj_mean_entropy_effective_rank,o_proj_mean_normalized_entropy_effective_rank,o_proj_mean_stable_rank
lora,4,144,2.25,2.7708333333333335,3.7430555555555554,1,4,1,4,2,4,2.211257866687245,0.5528144666718112,1.4627464363972347,4.0,2.611111111111111,3.111111111111111,3.9722222222222223,2.5220362643400827,0.6305090660850207,1.6162249777052138,2.611111111111111,3.1666666666666665,3.9444444444444446,2.452283591032028,0.613070897758007,1.5409721732139587,1.8888888888888888,2.3055555555555554,3.4166666666666665,1.8949876526991527,0.4737469131747882,1.3158752057287428,1.8888888888888888,2.5,3.638888888888889,1.9757239586777158,0.49393098966942894,1.377913388941023
lora,8,144,3.7222222222222223,4.854166666666667,7.145833333333333,1,6,1,7,4,8,3.476474814116955,0.43455935176461935,1.7495451577835612,8.0,4.916666666666667,6.333333333333333,7.916666666666667,4.338210781415303,0.5422763476769129,1.961489929093255,4.638888888888889,5.861111111111111,7.777777777777778,4.1996963951322765,0.5249620493915346,1.9644462863604228,2.611111111111111,3.5277777777777777,6.25,2.6079908907413483,0.32599886134266853,1.4958511888980865,2.7222222222222223,3.6944444444444446,6.638888888888889,2.7600011891788907,0.34500014864736134,1.576393226782481
lora,16,144,6.840277777777778,9.51388888888889,14.0625,1,12,2,14,8,16,5.96852510008547,0.3730328187553419,2.2185820920599832,16.0,9.86111111111111,12.36111111111111,15.555555555555555,8.380408042007023,0.5237755026254389,2.776535040802426,8.61111111111111,11.333333333333334,14.833333333333334,7.295112748940785,0.4559445468087991,2.4814267423417835,3.861111111111111,6.5,12.416666666666666,3.7249425219164953,0.23280890761978096,1.7063432236512501,5.027777777777778,7.861111111111111,13.444444444444445,4.473637087477578,0.27960231796734863,1.9100233614444733
lora,32,144,14.069444444444445,19.75,28.27777777777778,2,22,4,26,16,31,10.866496298048231,0.3395780093140072,2.8436591020888753,32.0,19.88888888888889,24.77777777777778,30.555555555555557,16.455173426204258,0.5142241695688831,3.912208060423533,16.805555555555557,22.47222222222222,29.52777777777778,13.077502581808302,0.40867195568150944,3.1860006352265677,7.944444444444445,13.777777777777779,25.13888888888889,5.677854041258494,0.17743293878932795,1.848114636209276,11.63888888888889,17.97222222222222,27.88888888888889,8.255455142921871,0.2579829732163085,2.4283130764961243
lora,64,144,28.645833333333332,40.1875,56.701388888888886,3,42,9,51,37,61,20.108711855279076,0.31419862273873556,3.813117438720332,64.0,38.361111111111114,48.5,60.27777777777778,31.58338114950392,0.49349033046099877,5.895977146095699,31.47222222222222,42.888888888888886,58.05555555555556,22.575589365429348,0.35274358383483356,4.054700983895196,18.27777777777778,30.27777777777778,51.583333333333336,10.146863208876717,0.1585447376386987,2.2444451683097415,26.47222222222222,39.083333333333336,56.888888888888886,16.129013697306316,0.2520158390204112,3.057346456580692
qlora,4,144,2.1527777777777777,2.5972222222222223,3.7222222222222223,1,3,1,4,2,4,2.0741123482584953,0.5185280870646238,1.3753036301996973,4.0,2.361111111111111,3.0277777777777777,3.9722222222222223,2.2911937965287104,0.5727984491321776,1.458789050579071,2.4166666666666665,2.8333333333333335,3.9444444444444446,2.2493862211704254,0.5623465552926064,1.4211289683977764,1.9444444444444444,2.3333333333333335,3.5,1.8663960893948872,0.4665990223487218,1.2912608981132507,1.8888888888888888,2.1944444444444446,3.4722222222222223,1.8894732859399583,0.4723683214849896,1.3300356037086911
qlora,8,144,3.4027777777777777,4.534722222222222,6.916666666666667,1,6,1,7,3,8,3.2296048775315285,0.40370060969144106,1.6685225980149374,8.0,4.527777777777778,6.0,7.777777777777778,4.028291781743367,0.5035364727179209,1.8634114960829418,4.055555555555555,5.388888888888889,7.472222222222222,3.66985954840978,0.4587324435512225,1.7700170742140875,2.4166666666666665,3.3055555555555554,6.055555555555555,2.5597002340687647,0.3199625292585956,1.5064760247866313,2.611111111111111,3.4444444444444446,6.361111111111111,2.660567945904202,0.33257099323802525,1.5341857969760895
qlora,16,144,6.256944444444445,8.930555555555555,13.770833333333334,1,11,2,13,7,16,5.397225079437097,0.33732656746481854,2.064602611793412,16.0,9.277777777777779,11.88888888888889,15.25,7.593897806273566,0.4746186128920979,2.5324712495009103,7.472222222222222,10.416666666666666,14.527777777777779,6.132205830679999,0.38326286441749996,2.160900655719969,3.6944444444444446,6.111111111111111,12.194444444444445,3.60330288277732,0.2252064301735825,1.684748434358173,4.583333333333333,7.305555555555555,13.11111111111111,4.259493798017502,0.26621836237609386,1.880290107594596
qlora,32,144,13.027777777777779,18.791666666666668,27.895833333333332,2,21,3,26,16,31,9.800262580315271,0.30625820563485223,2.648403955002626,32.0,19.02777777777778,24.13888888888889,30.27777777777778,14.99930112891727,0.4687281602786647,3.621865666574902,15.166666666666666,20.97222222222222,29.055555555555557,11.059283018112183,0.3456025943160057,2.7696118454138436,7.444444444444445,13.11111111111111,24.805555555555557,5.558712919553121,0.17370977873603502,1.9000068141354456,10.472222222222221,16.944444444444443,27.444444444444443,7.5837532546785145,0.23699228920870358,2.302131493886312
qlora,64,144,26.78472222222222,38.486111111111114,55.96527777777778,2,40,8,50,35,61,18.044322085049416,0.2819425325788971,3.4927669316530228,64.0,36.52777777777778,47.083333333333336,59.80555555555556,27.8895550303989,0.4357742973499828,5.055127418703503,29.305555555555557,41.02777777777778,57.25,19.996317386627197,0.31244245916604996,3.689365393585629,16.52777777777778,28.22222222222222,50.44444444444444,9.213947739866045,0.14396793343540695,2.227216058307224,24.77777777777778,37.611111111111114,56.361111111111114,15.077468183305529,0.23558544036414888,2.999358856015735
